"subject","type","item","condition","question","correct_answer","response","response_time","group_G","question_type_G","ambiguity_G","ambiguity","group","question_type"
"Native 4","gp",23,"b","!","{The_mother_washed_the_child}",0,3461,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 4","gp",13,"d","!","{The_boy}",1,1443,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",22,"a","!","{The_two_footballers_fought_each_other}",1,2300,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 4","gp",7,"b","!","{The_man_woke_himself_up}",1,1120,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 4","gp",1,"d","!","{The_man}",1,1064,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",20,"c","!","{The_man}",1,2021,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",3,"b","!","{The_two_journalists_met_each_other}",1,2919,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 4","gp",9,"d","!","{The_singer}",1,1267,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",10,"a","!","{The_two_soldiers_fought_each_other}",1,2556,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 4","gp",18,"a","!","{The_father_washed_the_baby}",0,1469,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 4","gp",5,"d","!","{The_boy}",1,1838,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",19,"b","!","{The_coach_calmed_himself_down}",1,2314,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",19,"c","!","{The_basketball_player}",1,2411,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",4,"d","!","{The_friend}",1,1865,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 5","gp",7,"c","!","{The_lady}",1,1604,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",16,"d","!","{The_assistant}",1,4299,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 5","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,2875,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",2,"b","!","{The_mother_dressed_the_baby}",0,3629,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",3,"c","!","{The_president}",1,1976,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",18,"b","!","{The_father_washed_the_baby}",0,3630,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",23,"c","!","{The_mother}",0,2373,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",21,"a","!","{Anna_dressed_the_child}",0,1624,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",13,"a","!","{The_girl_calmed_the_boy_down}",0,3354,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",8,"d","!","{The_boy}",1,2142,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 5","gp",15,"c","!","{The_aunt}",0,1437,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3330,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",24,"d","!","{The_actresses}",0,3337,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 5","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3234,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2809,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",11,"c","!","{The_lady}",0,2132,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 5","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,2597,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 5","gp",17,"a","!","{The_two_men_fought_each_other}",1,2285,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",5,"a","!","{The_father_washed_the_boy}",0,1943,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",9,"a","!","{The_pianist_calmed_the_singer_down}",0,3653,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 5","gp",20,"d","!","{The_man}",1,1902,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 5","gp",12,"d","!","{The_baby}",1,2848,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",5,"b","!","{The_father_washed_himself}",1,4095,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 6","gp",11,"d","!","{The_friend}",1,1612,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",6,"c","!","{The_neighbour}",1,1813,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",2,"c","!","{The_baby}",1,2120,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",10,"c","!","{The_General}",1,2816,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",17,"b","!","{The_two_men_fought_each_other}",1,3729,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 6","gp",15,"d","!","{The_boy}",1,1811,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",20,"a","!","{The_two_friends_met_the_man}",0,3125,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",3,"d","!","{The_president}",1,1585,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3398,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 6","gp",7,"d","!","{The_lady}",1,2098,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2534,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",12,"a","!","{The_nurse_washed_the_baby}",0,3563,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",13,"b","!","{The_girl_calmed_herself_down}",1,2873,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 6","gp",8,"a","!","{Mary_dressed_the_boy}",0,2478,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",16,"a","!","{The_researcher_woke_the_assistant_up}",0,2823,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",14,"c","!","{The_doctor}",0,2617,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,3084,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 6","gp",23,"d","!","{The_child}",1,1661,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2582,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 6","gp",22,"c","!","{The_coach}",1,1860,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",18,"c","!","{The_baby}",1,5989,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 6","gp",19,"d","!","{The_basketball_player}",1,1552,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 6","gp",21,"b","!","{Anna_dressed_herself}",1,2601,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",3,"a","!","{The_two_journalists_met_the_president}",0,2964,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",17,"c","!","{The_terrorist}",1,2381,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",4,"b","!","{The_two_children_hugged_each_other}",1,2833,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",18,"d","!","{The_baby}",1,1646,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",13,"c","!","{The_boy}",1,1324,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",22,"d","!","{The_coach}",1,1700,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",1,"c","!","{The_lawyer}",0,2661,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",7,"a","!","{The_man_woke_himself_up}",1,4372,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",5,"c","!","{The_father}",0,3607,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3700,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",11,"a","!","{The_lady_woke_herself_up}",1,2960,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",9,"c","!","{The_pianist}",0,2553,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",15,"a","!","{The_aunt_dressed_the_boy}",0,2322,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",12,"b","!","{The_nurse_washed_herself}",1,4266,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",23,"a","!","{The_mother_washed_the_child}",0,2185,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 7","gp",6,"d","!","{The_neighbour}",1,2836,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",10,"d","!","{The_General}",1,2029,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",16,"b","!","{The_researcher_woke_himself_up}",1,1738,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",2,"d","!","{The_baby}",1,2359,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",8,"b","!","{Mary_dressed_herself}",1,2836,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",21,"c","!","{The_child}",1,5031,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 7","gp",14,"d","!","{The_nurse}",1,2369,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 7","gp",24,"b","!","{The_two_actresses_met_each_other}",1,5812,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 7","gp",20,"b","!","{The_two_friends_met_each_other}",1,2375,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",23,"b","!","{The_mother_washed_herself}",1,3574,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",24,"c","!","{The_actresses}",0,2478,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 8","gp",7,"b","!","{The_man_woke_himself_up}",1,4532,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",4,"c","!","{The_two_children}",0,1941,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 8","gp",5,"d","!","{The_boy}",1,2185,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",13,"d","!","{The_boy}",1,1881,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",2,"a","!","{The_mother_dressed_the_baby}",0,2367,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",15,"b","!","{The_aunt_dressed_the_boy}",0,1798,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",9,"d","!","{The_singer}",1,1554,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",11,"b","!","{The_lady_woke_herself_up}",1,5442,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",19,"b","!","{The_coach_calmed_the_basketball_player_down}",0,3762,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",12,"c","!","{The_nurse}",0,4455,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 8","gp",3,"b","!","{The_two_journalists_met_each_other}",1,9266,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 8","gp",10,"a","!","{The_two_soldiers_fought_the_General}",0,3592,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",17,"d","!","{The_terrorist}",1,2585,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",16,"c","!","{The_assistant}",1,2231,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 8","gp",18,"a","!","{The_father_washed_the_baby}",0,3121,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",8,"c","!","{Mary}",0,3689,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 8","gp",22,"a","!","{The_two_footballers_fought_the_coach}",0,2801,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",14,"a","!","{The_doctor_woke_himself_up}",1,3341,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",21,"d","!","{The_child}",1,2050,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",1,"d","!","{The_lawyer}",0,3695,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 8","gp",6,"a","!","{The_two_kids_fought_each_other}",1,4823,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 8","gp",20,"c","!","{The_man}",1,1913,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 9","gp",6,"b","!","{The_two_kids_fought_each_other}",1,2559,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 9","gp",21,"a","!","{Anna_dressed_herself}",1,1804,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 9","gp",11,"c","!","{The_friend}",1,1081,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 9","gp",9,"a","!","{The_pianist_calmed_the_singer_down}",0,2545,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 9","gp",15,"c","!","{The_aunt}",0,1342,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 9","gp",24,"d","!","{The_director}",1,1031,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 9","gp",19,"c","!","{The_basketball_player}",1,1442,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 9","gp",16,"d","!","{The_assistant}",1,1361,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 9","gp",12,"d","!","{The_baby}",1,991,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
